n,scenario,spp,value
36,scenario3_alt,shore,184094
36,scenario3_alt,cicon,241748
36,scenario3_alt,crane,55263
36,scenario3_alt,geese,32752
36,scenario3_alt,TOTAL,295162
37,baseline,dblr,88013
37,baseline,shore,144915
37,baseline,cicon,168182
37,baseline,crane,23865
37,baseline,geese,11561
37,baseline,TOTAL,223858
37,scenario1,dblr,126496
37,scenario1,shore,180553
37,scenario1,cicon,204778
37,scenario1,crane,24048
37,scenario1,geese,11085
37,scenario1,TOTAL,269492
37,scenario2_alt,dblr,86132
37,scenario2_alt,shore,146430
37,scenario2_alt,cicon,161284
37,scenario2_alt,crane,27143
37,scenario2_alt,geese,17965
37,scenario2_alt,TOTAL,220161
37,scenario3_alt,dblr,124238
37,scenario3_alt,shore,182162
37,scenario3_alt,cicon,197715
37,scenario3_alt,crane,27120
37,scenario3_alt,geese,27385
37,scenario3_alt,TOTAL,265285
38,baseline,dblr,91079
38,baseline,shore,130145
38,baseline,cicon,308619
38,baseline,crane,45678
38,baseline,geese,17667
38,baseline,TOTAL,329250
38,scenario1,dblr,128761
38,scenario1,shore,167160
38,scenario1,cicon,329145
38,scenario1,crane,46784
38,scenario1,geese,20907
38,scenario1,TOTAL,356248
38,scenario2_alt,dblr,85629
38,scenario2_alt,shore,124854
38,scenario2_alt,cicon,244447
38,scenario2_alt,crane,44631
38,scenario2_alt,geese,25420
38,scenario2_alt,TOTAL,270530
38,scenario3_alt,dblr,124989
38,scenario3_alt,shore,162578
38,scenario3_alt,cicon,271757
38,scenario3_alt,crane,46059
38,scenario3_alt,geese,31581
38,scenario3_alt,TOTAL,304259
39,baseline,dblr,94324
39,baseline,shore,175956
39,baseline,cicon,93360
39,baseline,crane,84137
39,baseline,geese,41952
39,baseline,TOTAL,304158
39,scenario1,dblr,147849
39,scenario1,shore,208082
39,scenario1,cicon,124463
39,scenario1,crane,86016
39,scenario1,geese,46064
39,scenario1,TOTAL,344694
39,scenario2_alt,dblr,89683
