n,scenario,spp,value
16,scenario2_alt,NUWO,19819
16,scenario2_alt,SOSP,1702289
16,scenario2_alt,SPTO,324800
16,scenario2_alt,YBCH,3591
16,scenario2_alt,YEWA,329910
16,scenario2_alt,TOTAL,2045507
16,scenario3_alt,ATFL,99921
16,scenario3_alt,BHGR,46868
16,scenario3_alt,COYE,528378
16,scenario3_alt,LAZB,434
16,scenario3_alt,NUWO,54674
16,scenario3_alt,SOSP,1676807
16,scenario3_alt,SPTO,418550
16,scenario3_alt,YBCH,3306
16,scenario3_alt,YEWA,311687
16,scenario3_alt,TOTAL,2098363
17,baseline,ATFL,38274
17,baseline,BHGR,62208
17,baseline,COYE,499098
17,baseline,LAZB,1666
17,baseline,NUWO,20783
17,baseline,SOSP,1904291
17,baseline,SPTO,160998
17,baseline,YBCH,4388
17,baseline,YEWA,91255
17,baseline,TOTAL,2145202
17,scenario1,ATFL,78160
17,scenario1,BHGR,114441
17,scenario1,COYE,547003
17,scenario1,LAZB,3156
17,scenario1,NUWO,61026
17,scenario1,SOSP,1894868
17,scenario1,SPTO,233755
17,scenario1,YBCH,10860
17,scenario1,YEWA,103588
17,scenario1,TOTAL,2192598
17,scenario2_alt,ATFL,31862
17,scenario2_alt,BHGR,50255
17,scenario2_alt,COYE,485127
17,scenario2_alt,LAZB,836
17,scenario2_alt,NUWO,16214
17,scenario2_alt,SOSP,1864091
17,scenario2_alt,SPTO,169582
17,scenario2_alt,YBCH,990
17,scenario2_alt,YEWA,102758
17,scenario2_alt,TOTAL,2121575
17,scenario3_alt,ATFL,75511
17,scenario3_alt,BHGR,103258
17,scenario3_alt,COYE,532375
17,scenario3_alt,LAZB,4167
17,scenario3_alt,NUWO,55137
17,scenario3_alt,SOSP,1851191
17,scenario3_alt,SPTO,270696
17,scenario3_alt,YBCH,11013
17,scenario3_alt,YEWA,117992
17,scenario3_alt,TOTAL,2174149
18,baseline,ATFL,27824
18,baseline,BHGR,85189
18,baseline,COYE,359807
18,baseline,LAZB,12531
18,baseline,NUWO,31546
18,baseline,SOSP,1221379
18,baseline,SPTO,355853
18,baseline,YBCH,1203
18,baseline,YEWA,182347
18,baseline,TOTAL,1630762
18,scenario1,ATFL,69637
18,scenario1,BHGR,180962
18,scenario1,COYE,406670
18,scenario1,LAZB,41518
18,scenario1,NUWO,70191
18,scenario1,SOSP,1249715
18,scenario1,SPTO,424926
18,scenario1,YBCH,1211
18,scenario1,YEWA,184634
