scenario,ZONE,CODE_NAME,LABEL,area
baseline_win,Solano,FIELD_CORN,Corn,887.85
baseline_win,Solano,FIELD_OTHER,Other Field Crops,1722.24
baseline_win,Solano,GRAIN&HAY_OTHER,Other Grains,2639.0699999999997
baseline_win,Solano,GRAIN&HAY_WHEAT,Wheat,1976.22
baseline_win,Solano,GRASSLAND,Grassland,5168.429999999999
baseline_win,Solano,IDLE,Idle,2252.97
baseline_win,Solano,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,18.99
baseline_win,Solano,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1073.43
baseline_win,Solano,PASTURE_ALFALFA,Alfalfa,3207.96
baseline_win,Solano,PASTURE_OTHER,Other Pasture,7873.83
baseline_win,Solano,RICE,Rice,0
baseline_win,Solano,RIPARIAN,Riparian,693.18
baseline_win,Solano,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,103.86
baseline_win,Solano,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,99.81
baseline_win,Solano,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,53.73
baseline_win,Solano,RIPARIAN_FOREST_SALIX,Riparian - Willow,84.24
baseline_win,Solano,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,135.72
baseline_win,Solano,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,1.53
baseline_win,Solano,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,214.29
baseline_win,Solano,ROW,Row Crops,552.6
baseline_win,Solano,SCRUB,Scrub,33.57
baseline_win,Solano,URBAN,Urban,622.17
baseline_win,Solano,VINEYARD,Vineyard,706.5899999999999
baseline_win,Solano,WATER,Water,4576.95
baseline_win,Solano,WETLAND_MANAGED,Managed Wetland,824.22
baseline_win,Solano,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,33.48
baseline_win,Solano,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,790.74
baseline_win,Solano,WETLAND_OTHER,Other Wetland,1694.1599999999999
baseline_win,Solano,WETLAND_TIDAL,Tidal Wetland,687.51
baseline_win,Solano,WOODLAND,Woodland,43.11
baseline_win,Yolo,BARREN,Barren,0
baseline_win,Yolo,FIELD_CORN,Corn,352.8
baseline_win,Yolo,FIELD_OTHER,Other Field Crops,1432.71
baseline_win,Yolo,GRAIN&HAY_OTHER,Other Grains,2103.75
baseline_win,Yolo,GRAIN&HAY_WHEAT,Wheat,1769.1299999999999
baseline_win,Yolo,GRASSLAND,Grassland,3555.9
baseline_win,Yolo,IDLE,Idle,3066.2999999999997
baseline_win,Yolo,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,33.21
baseline_win,Yolo,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,378.71999999999997
baseline_win,Yolo,PASTURE_ALFALFA,Alfalfa,995.49
baseline_win,Yolo,PASTURE_OTHER,Other Pasture,3840.0299999999997
baseline_win,Yolo,RICE,Rice,1090.71
baseline_win,Yolo,RIPARIAN,Riparian,1135.17
baseline_win,Yolo,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,105.66
baseline_win,Yolo,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,317.07
baseline_win,Yolo,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,394.74
baseline_win,Yolo,RIPARIAN_FOREST_SALIX,Riparian - Willow,145.44
baseline_win,Yolo,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,25.2
baseline_win,Yolo,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,5.13
baseline_win,Yolo,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,141.93
baseline_win,Yolo,ROW,Row Crops,1344.96
baseline_win,Yolo,SCRUB,Scrub,0
baseline_win,Yolo,URBAN,Urban,3263.31
baseline_win,Yolo,VINEYARD,Vineyard,4862.25
baseline_win,Yolo,WATER,Water,1752.12
