scenario,county,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
scenario1_restoration,Yolo,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,96591.38386558948
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,82653.34395063628
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,431945.970827993
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,184372.63714289293
scenario1_restoration,Solano,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,311856.058576879
scenario1_restoration,Yolo,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,801539.1767393694
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,9147.879237226314
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,173989.98903997967
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,397402.79701909365
scenario1_restoration,Solano,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,66804.9148153048
scenario1_restoration,Yolo,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,352072.1901856182
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,173971.8451977604
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,466601.9515829161
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,414738.5906075645
scenario1_restoration,Solano,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,477000.87398853566
scenario1_restoration,Yolo,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,880910.4416536995
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,425653.76477373973
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,748950.6281574568
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1154905.2500903606
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1028205.1781806682
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,869770.5523603492
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,39891.52173853428
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,337965.01570050087
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,556679.258121933
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,41184.61564747203
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,79726.82016724204
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,49870.30975520611
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,238636.42296130874
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,156236.70315551053
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,252989.40018485818
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,536412.7457303823
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,8136.6320168133825
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,176416.70482046902
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,722988.4072522142
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,110245.99926424627
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,418749.12585930695
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,161984.984757358
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,329485.307020425
scenario2_perennialexpand,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,370562.9942660427
scenario2_perennialexpand,Solano,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,419285.87259478454
scenario2_perennialexpand,Yolo,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,658631.9324384547
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,518035.3580860628
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,803334.0353114738
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,2372467.3236156506
baseline,Solano,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,790276.886475583
baseline,Yolo,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,748080.9583304657
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,271349.27203969826
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,720900.4360606687
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,1719494.5896931821
baseline,Solano,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,131190.31448831988
baseline,Yolo,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,125182.95876309276
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,354752.43143737316
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,591066.5265455532
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,2095342.6014524677
baseline,Solano,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,305362.2221880903
baseline,Yolo,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,650091.182446842
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,137199.36919911223
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,165114.08810593744
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,562388.0882831698
baseline,Solano,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,113633.1418997841
baseline,Yolo,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,377948.42737965845
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_win,Geese,ha,442457.7363690775
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_win,Geese,ha,989731.597538427
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Geese,ha,2564959.753034088
baseline,Solano,Biodiversity Support,species distribution: waterbird_win,Geese,ha,284586.2914566287
baseline,Yolo,Biodiversity Support,species distribution: waterbird_win,Geese,ha,639386.7545163777
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,284782.15018758137
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,599796.9054992001
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,1800730.2895569296
baseline,Solano,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,341040.0437463023
baseline,Yolo,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,462657.59917007916
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,548332.3980692361
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,878958.481756515
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,2365004.554635783
