scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario2_perennialexpand,Contra Costa & Alameda,GRASSLAND,Grassland,4191.21,4193.91,-2.699999999999818,-6.437906392840614e-4,-0.06437906392840614
scenario2_perennialexpand,Contra Costa & Alameda,IDLE,Idle,2928.87,2932.02,-3.150000000000091,-0.0010743446497636752,-0.10743446497636752
scenario2_perennialexpand,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,5.85,5.85,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1213.47,1211.22,2.25,0.0018576311487591023,0.1857631148759102
scenario2_perennialexpand,Contra Costa & Alameda,PASTURE_ALFALFA,Alfalfa,1278.36,1282.23,-3.8700000000001182,-0.003018179265810438,-0.3018179265810438
scenario2_perennialexpand,Contra Costa & Alameda,PASTURE_OTHER,Other Pasture,4003.74,4013.73,-9.990000000000236,-0.002488956656277387,-0.2488956656277387
scenario2_perennialexpand,Contra Costa & Alameda,RICE,Rice,0,0,0,NA,NA
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN,Riparian,1136.25,1157.1299999999999,-20.87999999999988,-0.01804464494049924,-1.804464494049924
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,71.55,71.55,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,169.2,178.2,-9,-0.05050505050505051,-5.050505050505051
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,25.38,25.38,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,Riparian - Willow,119.33999999999999,123.3,-3.960000000000008,-0.03211678832116795,-3.2116788321167946
